Period,Value
27-May-18,0.085359
01-Jun-18,0.085337
06-Jun-18,0.085267
11-Jun-18,0.085243
16-Jun-18,0.085301
21-Jun-18,0.085289
26-Jun-18,0.085269
01-Jul-18,0.085178
06-Jul-18,0.085106
11-Jul-18,0.085181
16-Jul-18,0.085192
21-Jul-18,0.085123
26-Jul-18,0.085165
31-Jul-18,0.085157
05-Aug-18,0.085126
10-Aug-18,0.084999
15-Aug-18,0.085069
20-Aug-18,0.085001
25-Aug-18,0.085075
30-Aug-18,0.085001
04-Sep-18,0.085049
09-Sep-18,0.085156
14-Sep-18,0.08515
19-Sep-18,0.085101
24-Sep-18,0.08505
29-Sep-18,0.085069
04-Oct-18,0.085125
09-Oct-18,0.085109
14-Oct-18,0.085039
19-Oct-18,0.085113
24-Oct-18,0.0851
29-Oct-18,0.085169
03-Nov-18,0.085145
08-Nov-18,0.085166
13-Nov-18,0.085101
18-Nov-18,0.08469
23-Nov-18,0.08459
28-Nov-18,0.08465
03-Dec-18,0.084665
08-Dec-18,0.084639
13-Dec-18,0.084676
18-Dec-18,0.08475
23-Dec-18,0.084804
28-Dec-18,0.084829
02-Jan-19,0.0847
07-Jan-19,0.084734
12-Jan-19,0.08475
17-Jan-19,0.08482
22-Jan-19,0.084756
27-Jan-19,0.084662
01-Feb-19,0.08468
06-Feb-19,0.084688
11-Feb-19,0.084725
16-Feb-19,0.084731
21-Feb-19,0.084605
26-Feb-19,0.084732
03-Mar-19,0.0846
08-Mar-19,0.0846
13-Mar-19,0.084587
18-Mar-19,0.084638
23-Mar-19,0.084573
28-Mar-19,0.08457
02-Apr-19,0.084651
07-Apr-19,0.084778
12-Apr-19,0.084762
17-Apr-19,0.084842
22-Apr-19,0.084791
27-Apr-19,0.084795
02-May-19,0.084794
07-May-19,0.084834
12-May-19,0.084824
17-May-19,0.084761
22-May-19,0.08478
27-May-19,0.084754
01-Jun-19,0.084801
06-Jun-19,0.084611
11-Jun-19,0.084471
16-Jun-19,0.08438
21-Jun-19,0.084445
26-Jun-19,0.08447
01-Jul-19,0.084473
06-Jul-19,0.084442
11-Jul-19,0.084435
16-Jul-19,0.084463
